Name,Position,GS,GS/GP,GP,Total Mins,Total Points,MPG,PPG,FG %,Salaries
Malik Beasley,SG,14,0.194444444,72,1814.4,878,25.2,12.2,39.1,14491964
Saddiq Bey,SF,72,1,72,2433.6,1188,33.8,16.5,40,2824320
Mikal Bridges,SF,72,1,72,2541.6,1015,35.3,14.1,52.8,5557725
Terance Mann,SF,31,0.430555556,72,2088,763,29,10.6,47.7,1782621
Dwight Powell,C,61,0.847222222,72,1548,590,21.5,8.2,65.4,11080125
Franz Wagner,SF,72,1,72,2275.2,1101,31.6,15.3,46.4,5007840
Deni Avdija,SF,6,0.084507042,71,1661.4,539,23.4,7.6,42.6,4692840
Buddy Hield,SG,22,0.309859155,71,2158.4,1086,30.4,15.3,39.7,22768890
Jaren Jackson Jr.,PF,71,1,71,1938.3,1164,27.3,16.4,41.9,9180560
Kevon Looney,C,71,1,71,1540.7,447,21.7,6.3,56.6,5178572
Patty Mills,PG,46,0.647887324,71,2122.9,866,29.9,12.2,41.6,5890000
Russell Westbrook,PG,71,1,71,2449.5,1285,34.5,18.1,43.7,44211146
Chris Boucher,C,9,0.128571429,70,1456,644,20.8,9.2,47.3,7020000
Miles Bridges,PF,70,1,70,2513,1400,35.9,20,48.6,5421493
Alec Burks,PG,33,0.471428571,70,1939,770,27.7,11,37.9,9536000
Dorian Finney-Smith,SF,70,1,70,2324,749,33.2,10.7,46.1,4000000
Jalen Brunson,PG,51,0.739130435,69,2214.9,1104,32.1,16,50.4,1802057
Jordan Clarkson,PG,1,0.014492754,69,1849.2,1117,26.8,16.2,41.9,12420000
Bryn Forbes,SG,1,0.014492754,69,1207.5,627,17.5,9.1,42.9,4500000
Evan Fournier,SG,69,1,69,2049.3,993,29.7,14.4,42.5,17000000
Herbert Jones,PF,60,0.869565217,69,2070,669,30,9.7,49,1700000
Kenyon Martin Jr.,SF,2,0.028985507,69,1435.2,614,20.8,8.9,53.6,1517981
Julius Randle,PF,69,1,69,2449.5,1400,35.5,20.3,41.3,21780000
Duncan Robinson,SG,64,0.927536232,69,1828.5,779,26.5,11.3,40,15650000
Jayson Tatum,SF,69,1,69,2504.7,1863,36.3,27,44.7,28103500
Steven Adams,C,67,0.985294118,68,1802,482,26.5,7.1,55.1,17073171
Desmond Bane,SG,68,1,68,2040,1217,30,17.9,45.5,2033160
Harrison Barnes,PF,68,1,68,2305.2,1142,33.9,16.8,46.9,20284091
Kentavious Caldwell-Pope,SF,68,1,68,2046.8,850,30.1,12.5,41.9,13038862
Torrey Craig,SF,16,0.235294118,68,1400.8,448,20.6,6.6,45.4,4878049
Reggie Jackson,PG,68,1,68,2114.8,1156,31.1,17,39.5,10384500
Royce O'Neale,PF,68,1,68,2135.2,530,31.4,7.8,48.5,8800000
Naz Reid,C,5,0.073529412,68,1081.2,571,15.9,8.4,49.3,1782621
Jae'Sean Tate,SF,67,0.985294118,68,1802,816,26.5,12,50.4,1517981
Grant Williams,PF,17,0.25,68,1632,530,24,7.8,48.3,2617800
Darius Bazley,PF,51,0.76119403,67,1882.7,730,28.1,10.9,42.5,2513040
DeMar DeRozan,SF,67,1,67,2412,1855,36,27.7,50.6,26000000
Devonte' Graham,PG,59,0.880597015,67,1983.2,824,29.6,12.3,36,11000000
Jeff Green,PF,55,0.820895522,67,1654.9,690,24.7,10.3,51.9,4500000
Tyrese Haliburton,SG,67,1,67,2345,1005,35,15,46.7,4023600
Jaden McDaniels,PF,31,0.462686567,67,1748.7,629,26.1,9.4,45.9,2063280
Georges Niang,PF,7,0.104477612,67,1574.5,643,23.5,9.6,43.3,3300000
Immanuel Quickley,PG,2,0.029850746,67,1480.7,690,22.1,10.3,38.3,2210640
Juan Toscano-Anderson,SF,6,0.089552239,67,931.3,281,13.9,4.2,48.7,1701593
Ivica Zubac,C,67,1,67,1641.5,683,24.5,10.2,62.4,7518518
